Z,Pv,T,mu,HeatRR,C3H8,rxnC3H8,C3H3,rxnC3H3,O,rxnO,H,rxnH,OH,rxnOH,CO,rxnCO,H2,rxnH2,O2,rxnO2,H2O,rxnH2O,HO2,rxnHO2,H2O2,rxnH2O2,CH,rxnCH,CH2,rxnCH2,CH3,rxnCH3,CH4,rxnCH4,C2H,rxnC2H,C2H2,rxnC2H2,C2H3,rxnC2H3,C2H4,rxnC2H4,C2H5,rxnC2H5,C2H6,rxnC2H6,C3H6,rxnC3H6,I*C3H7,rxnI*C3H7,N*C3H7,rxnN*C3H7,CO2,rxnCO2,HCO,rxnHCO,CH2O,rxnCH2O,C2HO,rxnC2HO,C3H4,rxnC3H4,C3H5,rxnC3H5,N2,rxnN2
0,0,300,1.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233009709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766990291,0
0.005,6.12E-12,300,1.82E-05,0,0.005,3.34E-19,7.35E-41,4.40E-33,1.96E-23,5.01E-20,2.03E-32,7.84E-26,5.40E-25,2.22E-20,9.19E-24,-1.15E-25,8.39E-28,-6.02E-31,0.23184466,-4.97E-24,2.48E-12,-8.00E-20,2.80E-22,5.14E-24,6.34E-20,9.56E-36,1.68E-35,-5.03E-27,7.88E-34,8.19E-27,8.27E-28,8.64E-28,6.07E-25,1.11E-43,2.64E-40,1.05E-32,7.16E-21,-1.49E-27,2.87E-34,1.55E-27,8.92E-20,8.24E-32,2.04E-38,9.37E-35,7.54E-25,0,1.75E-19,1.00E-23,4.48E-27,-2.61E-19,4.47E-23,-6.56E-20,3.64E-12,-1.28E-26,3.68E-33,1.21E-25,1.63E-19,-1.73E-27,1.38E-21,-2.17E-32,1.85E-39,-4.15E-48,1.54E-26,-1.89E-42,0.76315534,0
0.00776,2.27E-13,300,1.82E-05,0,0.007760949,-8.16E-23,2.86E-37,1.71E-29,3.78E-30,1.35E-26,2.23E-32,8.49E-26,1.45E-28,-3.15E-23,3.29E-16,3.53E-25,9.18E-20,-1.03E-30,0.231201332,2.07E-24,9.81E-14,3.34E-23,4.96E-24,-2.08E-24,6.18E-19,8.63E-39,2.67E-36,8.00E-28,2.37E-33,2.46E-26,4.67E-29,-4.87E-29,1.59E-20,7.66E-43,1.89E-35,7.54E-28,2.27E-16,2.71E-26,5.23E-33,-2.82E-26,1.68E-16,-6.38E-29,1.44E-32,6.61E-29,3.25E-25,7.49E-46,7.29E-16,3.94E-25,1.76E-28,5.86E-23,5.04E-25,2.08E-23,1.28E-13,-3.86E-26,1.31E-32,-3.93E-25,9.33E-17,8.41E-29,1.39E-17,-1.25E-27,5.69E-22,1.34E-41,4.80E-19,2.09E-56,0.761037719,0
0.01052,1.16E-14,300,1.81E-05,0,0.010521898,-3.38E-26,6.31E-37,3.77E-29,8.07E-31,-5.02E-27,7.52E-34,3.16E-27,2.85E-32,-2.64E-27,1.12E-16,1.29E-27,3.89E-19,-4.72E-32,0.230558004,8.64E-26,5.06E-15,8.91E-27,1.24E-23,-9.22E-26,6.83E-20,1.33E-38,1.67E-36,5.01E-28,1.86E-34,-1.93E-27,1.82E-29,1.90E-29,6.36E-21,-1.76E-46,2.00E-36,7.97E-29,1.07E-16,8.07E-30,1.56E-36,-8.38E-30,2.75E-17,1.24E-32,2.78E-36,-1.27E-32,1.30E-27,6.26E-52,2.44E-16,6.72E-27,3.00E-30,1.92E-26,6.92E-26,6.92E-27,6.43E-15,3.03E-27,2.21E-35,-4.55E-28,1.37E-17,-6.70E-29,1.68E-17,-1.70E-28,6.09E-20,-1.10E-40,1.01E-17,5.68E-42,0.758920098,0
0.01328,0.00135122,300,1.81E-05,0,0.013183605,-1.26E-21,8.28E-42,3.89E-34,8.43E-34,1.30E-26,7.21E-25,-2.87E-18,1.61E-29,-4.99E-24,5.86E-07,2.32E-21,1.64E-09,8.66E-23,0.22864475,-9.12E-17,0.000714957,6.31E-24,2.14E-16,9.40E-17,3.35E-10,3.97E-24,1.46E-38,4.33E-30,8.42E-38,1.16E-21,8.08E-25,-8.35E-25,7.94E-11,1.76E-33,4.18E-40,-1.21E-31,2.10E-07,-1.83E-21,1.30E-36,1.90E-21,4.05E-09,-3.49E-25,4.69E-37,3.65E-25,3.19E-16,-1.28E-35,9.02E-07,-4.30E-22,9.51E-28,1.08E-21,1.61E-18,2.22E-22,0.000635676,9.42E-29,8.87E-37,2.54E-25,1.48E-09,1.63E-24,1.14E-07,-3.40E-21,3.58E-10,2.52E-22,2.61E-08,9.08E-23,0.756819165,0
0.01604,2.75E-07,300,1.81E-05,0,0.016043797,-5.17E-22,9.12E-37,-4.14E-29,1.15E-26,-1.89E-23,2.30E-29,-9.08E-23,2.18E-28,1.99E-24,1.38E-08,7.35E-23,6.57E-09,2.21E-27,0.229271084,-3.24E-21,2.27E-07,1.04E-22,7.59E-21,3.18E-21,1.11E-11,-2.32E-31,2.31E-31,-6.88E-23,5.19E-32,5.49E-25,1.28E-26,-1.21E-26,1.58E-11,1.02E-34,3.35E-31,1.34E-23,1.68E-09,-3.29E-26,1.86E-34,-5.06E-28,4.58E-10,1.74E-27,5.46E-34,-1.18E-30,2.40E-14,-9.43E-35,1.53E-10,1.59E-22,7.12E-26,2.48E-22,1.05E-18,9.48E-23,3.44E-08,-8.43E-25,2.56E-30,7.70E-23,2.23E-10,2.65E-26,1.69E-09,-2.21E-23,6.18E-13,1.52E-31,4.54E-12,4.59E-31,0.754684833,0
0.0188,7.95E-08,300,1.80E-05,0,0.018804745,-1.21E-12,1.39E-24,2.56E-15,4.49E-17,7.52E-08,5.96E-18,-2.75E-10,7.78E-27,-1.42E-09,3.67E-09,2.03E-19,5.15E-09,6.58E-16,0.228627944,-1.46E-07,6.65E-08,5.45E-20,1.23E-16,7.70E-10,5.77E-12,-1.16E-21,2.22E-16,-6.63E-08,2.25E-16,2.34E-09,8.54E-22,1.39E-19,1.37E-11,-3.12E-25,2.44E-16,9.73E-09,3.53E-10,-7.12E-12,1.11E-30,2.65E-17,1.55E-10,-3.74E-19,8.73E-33,1.16E-19,9.55E-14,-2.21E-25,1.50E-11,-4.81E-20,5.19E-24,1.05E-12,4.04E-18,1.39E-13,9.27E-09,-1.97E-19,4.75E-28,1.48E-07,8.18E-11,6.39E-17,2.87E-10,-1.60E-08,1.39E-13,3.18E-20,4.09E-13,1.45E-20,0.752567225,0
0.02157,5.31E-09,300,1.80E-05,0,0.021565694,3.07E-12,1.31E-24,-7.03E-17,9.91E-17,8.17E-09,9.13E-18,8.18E-11,8.65E-27,2.56E-10,1.68E-10,4.23E-10,8.82E-10,-1.18E-15,0.227984688,-1.62E-08,4.58E-09,5.12E-14,2.00E-14,-1.18E-09,8.16E-13,3.53E-20,2.49E-17,-7.41E-09,4.11E-17,-4.24E-10,1.06E-27,-1.86E-20,1.43E-12,7.05E-26,3.69E-17,1.46E-09,9.10E-12,-7.40E-14,3.19E-32,-1.05E-18,9.27E-12,4.50E-20,2.78E-34,-1.06E-20,4.48E-14,2.19E-25,2.52E-13,-8.16E-21,4.35E-24,-2.65E-12,1.78E-19,-3.50E-13,5.68E-10,6.66E-10,7.12E-29,1.65E-08,5.66E-12,6.00E-17,7.00E-12,-2.40E-09,2.07E-15,-6.43E-22,5.51E-15,-5.47E-22,0.750449613,0
0.02433,9.84E-08,300,1.79E-05,0,0.024326644,-3.80E-11,2.64E-26,-3.17E-15,1.10E-15,-2.21E-07,4.00E-17,1.55E-10,7.52E-23,-4.61E-12,5.54E-09,-3.13E-11,1.03E-08,-5.75E-15,0.22734127,4.47E-07,7.95E-08,3.08E-15,3.61E-13,-5.20E-09,3.90E-11,1.15E-17,6.04E-16,1.80E-07,3.08E-18,3.21E-11,6.01E-16,-6.20E-16,3.79E-11,-3.29E-21,1.25E-19,4.98E-12,1.55E-10,-2.19E-15,7.46E-31,-7.88E-17,1.61E-10,-5.91E-18,6.50E-29,-8.12E-19,9.68E-12,1.92E-21,3.05E-12,3.63E-17,1.63E-20,3.28E-11,8.02E-15,4.34E-12,1.34E-08,-4.99E-11,7.72E-26,-4.01E-07,9.65E-11,1.25E-15,1.21E-10,-8.92E-12,7.80E-14,-8.81E-20,1.35E-13,8.89E-21,0.748331977,0
0.02709,1.63E-09,300,1.79E-05,0,0.027087591,-3.32E-13,1.05E-24,-6.17E-17,1.50E-17,6.83E-09,6.96E-17,2.92E-10,2.11E-22,8.88E-11,1.71E-10,1.46E-10,1.55E-09,-1.14E-14,0.226698035,-5.22E-09,1.31E-09,-7.23E-14,6.55E-14,-9.05E-09,1.74E-12,3.81E-19,6.13E-18,-1.82E-09,1.42E-17,-1.46E-10,2.18E-16,-2.26E-16,1.65E-12,-2.12E-21,1.81E-16,-7.17E-09,3.56E-12,1.05E-13,1.83E-31,-3.15E-18,3.37E-12,2.67E-20,4.11E-29,-2.96E-20,4.75E-13,3.14E-22,3.82E-14,1.07E-16,4.80E-20,2.86E-13,5.62E-16,3.80E-14,1.48E-10,2.29E-10,1.19E-26,4.07E-09,1.27E-12,4.99E-16,4.47E-12,1.18E-08,2.88E-15,-2.53E-21,2.68E-15,1.15E-21,0.74621437,0
